Hour,CPEpor_F,CPEpor_n,Rpor,CPEb_F,CPEb_n,Rb
0,4.7000000000000004e-08,0.82,300.0,2.4999999999999998e-06,0.81,270000.0
1,7.612157738095238e-07,0.8200297619047618,299.60863095238096,2.585565476190476e-06,0.8101636904761905,269609.67261904763
2,1.4754315476190475e-06,0.8200595238095237,299.2172619047619,2.6711309523809524e-06,0.810327380952381,269219.34523809527
3,2.1896473214285713e-06,0.8200892857142856,298.82589285714283,2.7566964285714283e-06,0.8104910714285715,268829.01785714284
4,2.9038630952380954e-06,0.8201190476190475,298.4345238095238,2.8422619047619046e-06,0.8106547619047619,268438.6904761905
5,3.6180788690476194e-06,0.8201488095238095,298.04315476190476,2.927827380952381e-06,0.8108184523809524,268048.3630952381
6,4.332294642857142e-06,0.8201785714285714,297.6517857142857,3.013392857142857e-06,0.8109821428571429,267658.03571428574
7,5.046510416666666e-06,0.8202083333333333,297.2604166666667,3.098958333333333e-06,0.8111458333333333,267267.7083333333
8,5.76072619047619e-06,0.8202380952380952,296.8690476190476,3.1845238095238094e-06,0.8113095238095238,266877.38095238095
9,6.474941964285714e-06,0.8202678571428571,296.47767857142856,3.2700892857142858e-06,0.8114732142857143,266487.0535714286
10,7.189157738095238e-06,0.820297619047619,296.0863095238095,3.355654761904762e-06,0.8116369047619049,266096.7261904762
11,7.903373511904762e-06,0.8203273809523809,295.6949404761905,3.441220238095238e-06,0.8118005952380953,265706.3988095238
12,8.617589285714285e-06,0.8203571428571428,295.30357142857144,3.5267857142857143e-06,0.8119642857142858,265316.0714285714
13,9.331805059523809e-06,0.8203869047619047,294.9122023809524,3.6123511904761906e-06,0.8121279761904763,264925.74404761905
14,1.0046020833333333e-05,0.8204166666666666,294.5208333333333,3.6979166666666665e-06,0.8122916666666667,264535.4166666667
15,1.0760236607142857e-05,0.8204464285714286,294.1294642857143,3.783482142857143e-06,0.8124553571428572,264145.08928571426
16,1.147445238095238e-05,0.8204761904761905,293.73809523809524,3.869047619047619e-06,0.8126190476190477,263754.7619047619
17,1.2188668154761905e-05,0.8205059523809524,293.3467261904762,3.954613095238096e-06,0.8127827380952382,263364.4345238095
18,1.2902883928571429e-05,0.8205357142857143,292.95535714285717,4.040178571428572e-06,0.8129464285714286,262974.10714285716
19,1.3617099702380953e-05,0.8205654761904762,292.5639880952381,4.125744047619048e-06,0.8131101190476191,262583.77976190473
20,1.4331315476190477e-05,0.820595238095238,292.17261904761904,4.211309523809524e-06,0.8132738095238096,262193.45238095237
21,1.5045531249999999e-05,0.8206249999999999,291.78125,4.296875e-06,0.8134375,261803.125
22,1.5759747023809526e-05,0.8206547619047618,291.38988095238096,4.382440476190476e-06,0.8136011904761905,261412.79761904763
23,1.647396279761905e-05,0.8206845238095237,290.9985119047619,4.468005952380953e-06,0.813764880952381,261022.47023809524
24,1.718817857142857e-05,0.8207142857142856,290.60714285714283,4.553571428571429e-06,0.8139285714285714,260632.14285714287
25,1.7902394345238097e-05,0.8207440476190476,290.2157738095238,4.639136904761905e-06,0.8140922619047619,260241.81547619047
